prompt_index,input_tokens,output_tokens,success,ttft_ms,tpot_ms,latency_ms,start_time
0,1227,242,True,218.3,222.988,53958.333,603677.073
1,1910,199,True,351.719,208.338,41602.601,603677.339
2,1273,40,True,259.647,290.802,11600.928,603677.759
3,3151,384,True,569.22,180.194,69583.711,603678.067
4,2715,364,True,1058.987,171.63,63360.711,603678.33
5,1648,382,True,874.34,109.043,42419.661,603678.515
6,1931,426,True,866.582,161.542,69521.786,603678.861
7,2007,202,True,1261.805,214.946,44465.982,603679.054
8,20,305,True,520.271,182.415,55974.316,603679.796
9,1116,63,True,325.359,72.769,4837.017,603680.901
10,2075,144,True,873.744,254.698,37295.51,603681.063
11,1222,374,True,898.659,166.304,62930.019,603681.587
12,26,660,True,646.797,118.368,78651.144,603681.838
13,54,550,True,749.21,134.607,74648.258,603682.12
14,2223,539,True,863.29,135.287,73647.879,603682.987
15,1447,50,True,838.102,115.522,6498.692,603683.012
16,809,574,True,1682.145,127.086,74502.42,603683.043
17,344,206,True,1674.351,197.046,42068.82,603683.051
18,1903,209,True,1077.053,199.647,42603.618,603683.648
19,2135,489,True,1307.984,139.484,69376.191,603684.151
20,1826,631,True,1338.265,116.269,74587.575,603684.831
21,1300,275,True,623.236,175.655,48752.691,603686.114
22,2044,387,True,891.916,150.703,59063.357,603686.651
23,698,91,True,684.79,260.341,24115.477,603686.858
24,15,1268,True,704.991,61.882,79109.92,603687.364
25,77,1,True,662.294,,662.301,603687.407
26,833,23,True,321.369,53.614,1500.874,603687.748
27,62,481,True,268.897,135.946,65522.983,603687.8
28,1840,296,True,376.4,161.256,47946.918,603688.766
29,868,380,True,768.157,113.161,43656.193,603689.013
30,3835,503,True,1614.877,127.283,65510.735,603689.193
31,18,82,True,1511.35,202.122,17883.239,603689.297
32,1944,133,True,1754.322,141.439,20424.236,603689.794
33,380,195,True,1550.036,171.629,34846.073,603689.998
34,1878,119,True,1934.633,150.885,19739.066,603690.279
35,322,32,True,2322.058,66.891,4395.664,603690.286
36,1704,716,True,2643.949,59.212,44980.644,603690.607
37,1110,1016,True,2864.957,53.245,56908.842,603690.923
38,2177,472,True,3329.663,120.3,59990.858,603691.244
39,392,89,True,2369.694,113.351,12344.578,603692.204
40,842,1,True,2470.714,,2470.725,603692.586
41,1847,232,True,3481.104,129.278,33344.238,603692.735
42,2229,29,True,3289.324,80.912,5554.848,603692.927
43,568,296,True,2890.214,132.621,42013.543,603693.326
44,2139,101,True,3614.987,53.209,8935.851,603693.349
45,195,204,True,3247.483,26.859,8699.851,603693.716
46,1844,923,True,3570.916,77.249,74794.573,603694.087
47,2720,577,True,4280.27,103.125,63679.986,603694.166
48,1516,944,True,5136.177,74.367,75264.3,603694.213
49,1326,267,True,5008.788,129.056,39337.688,603694.34
